#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A1882E
#Date Time: 2016-10-22 18:43::04.705

Frequency (Hz),Channel 2 (dB),Channel 2 (deg)
5793.5871743486978,-51.190603517169244,52.061110980012202
5839.6793587174352,-51.430913668516169,-3.5191587146379533
5885.7715430861726,-52.82756864778262,-59.476141704862428
5931.8637274549101,-55.765529567148121,-113.2913533942567
5977.9559118236475,-62.710045603341932,-165.46223781845345
6024.0480961923849,-76.158061854829725,-46.337506189945088
6070.1402805611224,-58.311900495233012,-99.820155066697708
6116.2324649298598,-54.124958061936212,-153.32664295052265
6162.3246492985973,-52.156748144864544,151.50748561752394
6208.4168336673347,-51.216503785842932,94.179425540861587
6254.5090180360721,-51.469908039258989,38.547654163234611
6300.6012024048096,-52.812428950376429,-17.672442354284222
6346.693386773547,-56.273115671726487,-74.002392843698999
6392.7855711422844,-64.506093572207362,-126.31739326633654
6438.8777555110219,-66.476076052900325,-8.9932381088892299
6484.9699398797593,-56.259157437148616,-58.564506704893518
6531.0621242484967,-52.460411249605094,-112.99044032496363
6577.1543086172342,-51.262527645706264,-167.41005012731
6623.2464929859716,-51.410265377422135,135.57017108530894
6669.338677354709,-53.427804600545102,80.910608593373382
6715.4308617234465,-58.421601316395346,21.316258783731861
6761.5230460921848,-89.078329747278119,127.49821801361955
6807.6152304609222,-56.838815790113252,92.47971215957466
6853.7074148296597,-52.192753438949445,36.994303384448799
6899.7995991983971,-51.350462334303266,-19.299906931430399
6945.8917835671346,-56.318764039012997,-72.175949314674213
6991.983967935872,-55.094191454274608,52.297101157919428
7038.0761523046094,-41.715866695206707,-3.7114637033974134
7084.1683366733469,-34.85491530114745,-59.064286186445351
7130.2605210420843,-29.782144923759123,-114.23938536220058
7176.3527054108217,-25.689272823495855,-169.63276431466741
7222.4448897795592,-22.270888675673959,134.90267993515974
7268.5370741482966,-19.33119277549072,79.465549018997478
7314.629258517034,-16.754238928640895,24.003561028475879
7360.7214428857715,-14.496247787939197,-31.434090125464678
7406.8136272545089,-12.494567215406267,-86.8500660731479
7452.9058116232463,-10.717383584043553,-142.27625666526123
7498.9979959919838,-9.1416113283757419,162.29044108450131
7545.0901803607212,-7.7407332523290693,106.86887716039368
7591.1823647294586,-6.4989033813724992,51.433165357071033
